MSSV,H? v� t�n,Email,Chuy�n Ng�nh
SE15001,Nguyễn Văn An,annvse15001@fpt.edu.vn,SE
SS15002,Trần Thị Bình,binhttss15002@fpt.edu.vn,SS
SE15003,Lê Hoàng Cường,cuonglhse15003@fpt.edu.vn,SE
SE15004,Phạm Minh Duy,duypmse15004@fpt.edu.vn,SE
SS15005,Đỗ Ngọc Em,emdnss15005@fpt.edu.vn,SS
SE15006,Vũ Thị Phương,phuongvtse15006@fpt.edu.vn,SE
SS15007,Ngô Văn Giang,giangnvss15007@fpt.edu.vn,SS
SE15008,Hoàng Thị Hoa,hoahtse15008@fpt.edu.vn,SE
SE15009,Bùi Văn Hùng,hungbvse15009@fpt.edu.vn,SE
SS15010,Đặng Thị Khánh,khanhdtss15010@fpt.edu.vn,SS
SE15011,Dương Văn Lâm,lamdvse15011@fpt.edu.vn,SE
SS15012,Trịnh Thị Mai,maittss15012@fpt.edu.vn,SS
SE15013,Phan Văn Nam,nampvse15013@fpt.edu.vn,SE
SE15014,Lý Thị Oanh,oanhltse15014@fpt.edu.vn,SE
SS15015,Vương Văn Phú,phuvvss15015@fpt.edu.vn,SS
