StudentID,FullName,Email,MajorCode,Username,Password,Birthday,ContactInfo
SE170001,Nguyen Van A,anvse170001@fpt.edu.vn,SE,anvse170001,,1/10/2003,911111111
SE170002,Tran Thi Binh,binhttse170002@fpt.edu.vn,SE,binhttse170002,,2/15/2003,911111112
SS170003,Le Van Cuong,cuonglvss170003@fpt.edu.vn,SS,cuonglvss170003,,3/20/2003,911111113
SE170004,Pham Thi Dung,dungptse170004@fpt.edu.vn,SE,dungptse170004,,4/25/2003,911111114
SS170005,Hoang Van Em,emhvss170005@fpt.edu.vn,SS,emhvss170005,,5/30/2003,911111115
SE170006,Vu Thi Giang,giangvtse170006@fpt.edu.vn,SE,giangvtse170006,,6/5/2003,911111116
SE170007,Do Van Hai,haidvse170007@fpt.edu.vn,SE,haidvse170007,,7/10/2003,911111117
SS170008,Ngo Thi Huong,huongntss170008@fpt.edu.vn,SS,huongntss170008,,8/15/2003,911111118
SE170009,Phan Van Khoa,khoapvse170009@fpt.edu.vn,SE,khoapvse170009,,9/20/2003,911111119
SS170010,Mai Thi Lan,lanmtss170010@fpt.edu.vn,SS,lanmtss170010,,10/25/2003,911111120
SE170011,Nguyen Huu Minh,minhnhse170011@fpt.edu.vn,SE,minhnhse170011,,11/30/2003,911111121
SE170012,Tran Ngoc Nga,ngatnse170012@fpt.edu.vn,SE,ngatnse170012,,12/5/2003,911111122
SS170013,Le Dinh Phong,phongldss170013@fpt.edu.vn,SS,phongldss170013,,1/10/2003,911111123
SE170014,Pham Thanh Quan,quanptse170014@fpt.edu.vn,SE,quanptse170014,,2/15/2003,911111124
SS170015,Hoang Gia Son,sonhgss170015@fpt.edu.vn,SS,sonhgss170015,,3/20/2003,911111125
SE170016,Vu Quoc Thang,thangvqse170016@fpt.edu.vn,SE,thangvqse170016,,4/25/2003,911111126
SE170017,Do Thi Uyen,uyendtse170017@fpt.edu.vn,SE,uyendtse170017,,5/30/2003,911111127
SS170018,Ngo Thanh Van,vanntss170018@fpt.edu.vn,SS,vanntss170018,,6/5/2003,911111128
SE170019,Phan Le Xuan,xuanplse170019@fpt.edu.vn,SE,xuanplse170019,,7/10/2003,911111129
SS170020,Mai Hoang Yen,yenmhss170020@fpt.edu.vn,SS,yenmhss170020,,8/15/2003,911111130
SE170021,Nguyen Anh Tuan,tuannase170021@fpt.edu.vn,SE,tuannase170021,,9/20/2003,911111131
SS170022,Tran Minh Tri,tritmss170022@fpt.edu.vn,SS,tritmss170022,,10/25/2003,911111132
SE170023,Le Thi Cam Van,vanltcse170023@fpt.edu.vn,SE,vanltcse170023,,11/30/2003,911111133
